uuid,name,description
99a9f816-6d2c-4c38-8a60-52b514e462a9,Bad Hombres Against Fake News Pack 1,https://www.amazon.com/Hombres-Against-Unofficial-Expansion-Humanity/dp/B06XDVMN5T/

uuid,edition,version,description,author,releaseDate,column
a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6,,v1.0,,,0,0

uuid,suite,text,draw,pick,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
81c586ac-87f9-4245-b998-d7397390d7dc,Prompt,A Bad Hombres' celebration always include ______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
eb865b53-c786-4b90-a1e2-29220b8ddb55,Prompt,A day in the life of a Bad Hombre has plenty of _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
5432883a-e933-48ee-9384-49c7d2737e01,Prompt,A good solution for the Bad Hombres dilemma would be _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
629c1c9e-fa3f-49ad-ac65-356a35ccf7b5,Prompt,A trip to Mexico can make you so happy because of ______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
af269e91-8e3e-4d99-8fbc-88106c97383c,Prompt,Bad Hombres actually enjoy _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
641053d2-66b1-465a-9fe0-90107f7f3eb9,Prompt,Bad Hombres' biggest weakness is _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
bc9c931d-244b-463c-b7e2-5d552544736e,Prompt,How will Mexico pay for the wall?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
08e29587-4fce-43ec-810c-66e5d7acd38a,Prompt,Mexico and U.S. will reunite once they get rid of _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
c281501e-cf2c-449f-a62b-cfdec6464e52,Prompt,Telemundo will make a fortune with a reality show about _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
49a2adfc-76cd-461b-a5cd-a5603194b52b,Prompt,The best part of losing my virginity in Mexico was _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
34db80b3-7e7b-4a72-9d36-49f8394322a9,Prompt,The real hobby of El Chapo is _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
739bbef4-0507-454a-b0d8-19e55c668698,Prompt,The real reason that Bad Hombres should be kicked out of the U.S. is ________.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
cc6ef2f9-68b3-47ce-8163-78d23e831648,Prompt,Trump's Spanish pronunciation provokes _______.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
20b0f945-568f-429e-80cd-a9564bca4aa6,Prompt,What are Bad Hombres full of?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
421fca90-d02c-4faa-9834-569a9be7d55c,Prompt,What are Bad Hombres proud of?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
a24e17bf-67d4-49b6-9d52-67fdf56df497,Prompt,What do Bad Hombres' real housewives like?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
521e9912-e42c-4bbd-a89e-15d6e8f1394e,Prompt,What gets Bad Hombres horny?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
4ec6190f-71b9-4e6d-be01-4f8b44efcf9c,Prompt,What is a Bad Hombre afraid of?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
f656fe94-c09e-4838-9feb-31883268f6e1,Prompt,What is always in the mind of a Bad Hombre?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
c918e7be-1765-4f03-bd5b-3366358c9b68,Prompt,What is the biggest problem with Bad Hombres crossing the border?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
ded82b7f-a6b2-4ece-b2df-2ede64582bde,Prompt,What is the reason to protect the Bad Hombres?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
669e3570-6b8f-46d6-9787-b19200fc2c1e,Prompt,What is Trump's worst nightmare?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
3d120392-c49b-4311-a7a3-ffba48e6b6ce,Prompt,What makes Bad Hombres laugh hysterically?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
a3054861-adf1-4581-9821-edbb4987e33d,Prompt,What would not be fake news?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
fee37f69-0386-4c38-9392-37ff4c850e8e,Prompt,What's a Bad Hombre best friend?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
2c3a7c8c-282d-476f-b821-d31626ee4656,Prompt,What's trending among Bad Hombres?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
617357eb-76b7-4468-9b21-962196333c54,Prompt,Why am I loving my Bad Hombre?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
761e6ca4-69a6-43b8-8c49-c025cedb2660,Prompt,Why do some Americans like the wall?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
4846106c-a73c-44af-b67c-d81ebae28453,Prompt,Why hasn't my friend crossed the border?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
2ae218a6-7e11-4ad5-83a6-989409ba3813,Prompt,Why is Donald Trump obsessed with the wall?,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
55a22b8e-ef38-4893-b076-4337482f50e7,Response,"$20,000 trip from Honduras to Texas hiding in the back of the troka.",0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
5588927e-d6bf-47dc-a930-ed76eff463b1,Response,5 de Mayo celebrations.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
29d259f8-1b88-4150-9be3-5edc95234e3b,Response,A drug-filled piñata.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d6be45f1-1b3d-4ac8-8885-7098fd3dac1d,Response,A fully equipped tunnel under the border.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d0afe7d0-730f-4110-b9f0-fc4ed80bfad3,Response,A new movie by Alejandro Gonzalez Iñarritu about the Bad Hombres.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
53a391d8-f7ce-4b29-ba67-6de315f370bd,Response,A new shining Trump tower in Mexico.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
ca1bb61c-804f-4d90-9268-edb868ae6015,Response,A pillow fight between Bad Hombres.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d96dbd39-8f7d-4d50-b392-0534cc015c9b,Response,A really bad Mexican soup opera.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
3d19dba0-e3ab-42d9-bc56-0df96ffbd6ff,Response,All kind of children are indeed left behind.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
983d7aee-095d-4bbf-abf5-a7287300b868,Response,An economy without Mexican labor.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
e954cb05-1e5b-4db3-b44a-0c3ebc0926d8,Response,Bad Hombres infiltrating the border patrol.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
29a76bc9-7164-4ce3-81a7-e1f2d9e1b643,Response,Bad Hombres offensive comments.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
115a0724-627c-40e1-80fa-baa3cf6fe5ce,Response,Bad Hombres willing to work 80 hours a week.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
3d5abacf-8422-4903-a211-c79a5e3ecb13,Response,Baked beans.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
351aa3e7-bec9-4520-a6ff-4606d845c613,Response,Beefy empanadas for 25 cents.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
e8c8f092-c3aa-4a82-a865-c14bf943fa64,Response,Being afraid of the worm at the bottom of the tequila bottle.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
c67afae2-4182-4389-be85-1c350eca4972,Response,Being deported to Mexico after living 20 years in the U.S.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
135fa15a-3db7-4cbc-a296-033c9c475031,Response,Blaming the 1% for everything.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
05089826-5243-40ab-8a31-311df0920041,Response,Bloody Bull Fights with lots of celebration and tequila.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d48d4207-059b-4d42-9bf2-485494c6aab3,Response,Border Tax.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
db1c20df-eb03-4c1d-a2f0-529671506107,Response,Building a door in the wall.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
4c2814f1-b614-4b29-87f0-f6342fce3b85,Response,Building bridges rather than walls.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
ccfc24c5-1e5e-4bcb-8a9b-645e176c4093,Response,Burrito masturbation technique.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
c1af87b6-e2dc-4de3-9faa-7cecec5cf482,Response,Cabrón de mierda.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7b33d7df-45fa-4bd8-8065-d105e25a80f6,Response,Cheap Mexican porn.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
6d1df140-a0b3-43f9-b2e4-28d95797d472,Response,Cheap tequila.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
21feabe2-60d2-4ed8-8607-c8689e9d2b64,Response,Cheap Viagra® hecha en casa.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
2cf06773-06ed-46ec-aa22-66eedb5bd9fc,Response,Confronting deportation fears.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
af848bb7-16de-4d63-93bf-63a0119bf8f1,Response,Confusing Taco Bell® with good Mexican food.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
a5270cbd-44b6-44f0-a185-5e07db144d0b,Response,Confusing Tijuana with North Korea.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
dda15ace-fe0b-4319-abd2-f6a9bcc9394b,Response,Coyote services inflation.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
f3d114e2-90dc-43ef-9615-f39093805365,Response,"Criminals, drug dealers, rapists, etc.",0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
a9660be3-3215-46d4-badb-79fbbc21d1d5,Response,Declaring Spanish as second official language of the U.S.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
58bc7df7-ff0d-4bdb-98c7-85b0313f0b78,Response,Discrimination.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
1e1f72b2-d84d-4a82-bf06-100e355a3eeb,Response,Dreamers hiding from deportation.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
84b682ce-3cd4-4ff9-8c8a-27f4d3dd9e64,Response,Eating tamales in Thanksgiving.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
845a7e90-80af-4510-aeb1-bb877faa02b8,Response,El Chapo unleashing a Bad Hombre revolution from jail.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
1d6b654a-57ba-4e62-b3c3-19754fba5de3,Response,El Rio Grande.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
